CPNT_ID,CPNT_TYP_ID,REV_DTE,DMN_ID,NOTACTIVE,CPNT_TITLE,DEL_MTH_ID,SUBJ_AREA_1,SUBJ_AREA_2,SUBJ_AREA_3,CONTACT,CPNT_DESC,COMMENTS,CMPL_STAT_ID,CPNT_LEN,AUTO_FILL_ENRL,ENRL_THRESHOLD_DAYS,SCHEDULE_CAN_OVERRIDE_PRICE,RTYP_ID,CPNT_SRC_ID,SAFETY_REL,CREATE_DTE,INIT_NUMBER,INIT_PERIOD_TYPE_ID,INIT_BASIS_TYPE_ID,RETRNG_NUMBER,RETRNG_PERIOD_TYPE_ID,RETRNG_BASIS_TYPE_ID,REV_NUM,REVISER,APPRVR,APPRVD,APPRVL_DTE,MIN_ENRL,MAX_ENRL,PREP_LEN,DEFAULT_PUB_PRICE,LES_PLAN,CREDIT_HRS,CPE_HRS,CONTACT_HRS,STUD_MATS,INST_MATS,CPNT_GOALS,TGT_AUDNC,GRADE_OPT,CHGBCK_METHOD,SHOW_IN_CATALOG,COL_NUM1_VAL,COL_NUM2_VAL,COL_NUM3_VAL,COL_NUM4_VAL,COL_NUM5_VAL,PRICE_CURRENCY_CODE,LEVEL1_SURVEY,LEVEL3_SURVEY,CATALOG_1,CATALOG_2,CATALOG_3,APP_ID,BUILD_USER,BUILD_COMPANY,BUILD_LOC,BUILD_DATE,DEVELOPER_TOOL,CONTENT_ONLINE,LAUNCH_TYPE,PRIMARY_PARAM,OFFLINE_PRIMARY_PARAM,SECONDARY_PARAMS,AICC_SUPPORT,ENABLE_CROSSDOMAIN,ITEM_ONLINE,ITEM_ONLINE_ONLY,REVIEWABLE,DAYS_TO_EXPIRATION,FAIL_STAT_ID,AICC_MAX_NORMAL,MODULE_NAME,MASTERY_SCORE,REMOVE_CPNT_MODULE_FLAG,ESIG_ENABLED,INCLUDE_IN_GOVT_REPORTING,TRAINING_TYPE,LGL_ENTITY_2483_ID,ENABLE_RATING,INCLUDE_PREV_REV_RATING,MODULE_TYPE,CONTENT_WRAPPER_TYPE,EXAM_REVIEW_OPTION,NODE_LEVEL,NODE_NO,OFFLINE_ACCESSIBLE,APP_DMN_ID,APP_DESCRIPTION,APP_NOTACTIVE,APP_TITLE,AUTO_COMPETENCY,THUMBNAIL_URI,FAILURE_ACTION,REPEAT_COUNT,OFFLINE_FILE_PATH,SELF_ENRL,ENABLE_ORDER,APPROVAL_REQD,TAP_DEF_ID,SELF_RECORD_LRNGEVT,SUB_RECORD_LRNGEVT,USE_AICC_WRAPPER,HTML_CPNT_DESC,TRIGGER_CPNT_PASS,TRIGGER_CPNT_FAIL,PARENT_MODULE_NAME,FORCE_ORDER,LOCALE,USER_CAN_WAITLIST,SUPER_ENRL,WITHDRAW_TAP_DEF_ID,WITHDRAW_APPROVAL_REQ,LAUNCH_IN_A_NEW_BWSR_WINDOW,PRODUCTION_READY,SCHED_CAN_OVERRIDE_CAN_POLICY,CANCEL_POLICY_ID,SKIP_CONTENT_STRUCTURE_PAGE!##!
course-26708,ONLINE,,AHOLD,N,ETL in Python,,,,,,"Want to grow your data engineering skills and more efficiently process big data? Well, it’s time to develop your ETL skills. In this course, you’ll learn the foundations of creating pipelines to efficiently extract, transform, and load data into the systems your company commonly uses. You’ll get hands-on experience by helping a fictional private equity firm process the sales data they need to make informed business decisions when buying real estate. Jump in, learn how to create ETL pipelines, and develop one of the most in-demand engineering skills needed in the market.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/etl-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,ETL in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26654,ONLINE,,AHOLD,N,NoSQL Concepts,,,,,,"Confused about NoSQL and how it differs from SQL? You've come to the right place!
<br/>
<br/>
In this conceptual course (no coding required), you’ll be introduced to learn the four major NoSQL databases, including <b>key-value, document, column family, and graph</b>.  You’ll learn about four popular NoSQL engines—including <b>Redis, MongoDB, Apache Cassandra, and Neo4j</b>—and when to apply them to achieve a specific business requirement. You’ll follow the data escapades of a fictional social network and learn how NoSQL can help them handle and extract insights from unstructured data like social posts. Lastly, you’ll study real use cases of when NoSQL databases were used—giving you the knowledge you need to effectively store data in any situation.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/nosql-concepts,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,NoSQL Concepts,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26596,ONLINE,,AHOLD,N,Building Dashboards with Dash and Plotly,,,,,,You don’t need expensive vendor software to create insight-rich dashboards—you can do this using Plotly and Dash. Come on a journey and learn how to turn your Plotly visualizations into interactive dashboards using global e-commerce data. You’ll learn the basics of web applications and discover how to structure and style your dashboards using HTML and CSS—building a portfolio of dashboards you can adapt to your data and projects. Are you ready to bring your plots to life?,DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/building-dashboards-with-dash-and-plotly,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Building Dashboards with Dash and Plotly,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26588,ONLINE,,AHOLD,N,Statistical Techniques in Tableau,,,,,,"Take your reporting skills to the next level with Tableau’s built-in statistical functions. Using drag and drop analytics, you'll learn how to perform univariate and bivariate exploratory data analysis and create regression models to spot hidden trends. Working with real-world datasets, you’ll also use machine learning techniques such as clustering and forecasting. It’s time to dig deeper into your data!",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/statistical-techniques-in-tableau,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Statistical Techniques in Tableau,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26164,ONLINE,,AHOLD,N,Machine Learning with Tree-Based Models in R,,,,,,"Tree-based machine learning models can reveal complex non-linear relationships in data and often dominate machine learning competitions. In this course, you'll use the tidymodels package to explore and build different tree-based models—from simple decision trees to complex random forests. You’ll also learn to use boosted trees, a powerful machine learning technique that uses ensemble learning to build high-performing predictive models. Along the way, you'll work with health and credit risk data to predict the incidence of diabetes and customer churn.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/machine-learning-with-tree-based-models-in-r,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Machine Learning with Tree-Based Models in R,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26149,ONLINE,,AHOLD,N,Intermediate Regression with statsmodels in Python,,,,,,"Linear regression and logistic regression are the two most widely used statistical models and act like master keys, unlocking the secrets hidden in datasets. In this course, you’ll build on the skills you gained in ""Introduction to Regression in Python with statsmodels"", as you learn about linear and logistic regression with multiple explanatory variables. Through hands-on exercises, you’ll explore the relationships between variables in real-world datasets, Taiwan house prices and customer churn modeling, and more. By the end of this course, you’ll know how to include multiple explanatory variables in a model, discover how interactions between variables affect predictions, and understand how linear and logistic regression work.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/intermediate-regression-with-statsmodels-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Intermediate Regression with statsmodels in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25942,ONLINE,,AHOLD,N,Introduction to Regression with statsmodels in Python,,,,,,"Linear regression and logistic regression are two of the most widely used statistical models. They act like master keys, unlocking the secrets hidden in your data. In this course, you’ll gain the skills you need to fit simple linear and logistic regressions. Through hands-on exercises, you’ll explore the relationships between variables in real-world datasets, including motor insurance claims, Taiwan house prices, fish sizes, and more. By the end of this course, you’ll know how to make predictions from your data, quantify model performance, and diagnose problems with model fit.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/introduction-to-regression-with-statsmodels-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Introduction to Regression with statsmodels in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25939,ONLINE,,AHOLD,N,Bond Valuation and Analysis in Python,,,,,,"The world’s bond market has a value of around 120 trillion dollars; it plays a key role in helping both governments and businesses raise capital and is an essential part of most investment portfolios. In this course, you’ll gain the essential skills needed to work in the financial, insurance, and accounting industries, including understanding and analyzing markets. Through hands-on activities, you’ll discover how bonds work, how to price them, and how to assess some of their risks using numpy and numpy-financial packages.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/bond-valuation-and-analysis-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Bond Valuation and Analysis in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25923,ONLINE,,AHOLD,N,Survival Analysis in Python,,,,,,"How long does it take for flu symptoms to show after exposure? And what if you don't know when people caught the virus? Do salary and work-life balance influence the speed of employee turnover? Lots of real-life challenges require survival analysis to robustly estimate the time until an event to help us draw insights from time-to-event distributions. This course introduces you to the basic concepts of survival analysis. Through hands-on practice, you’ll learn how to compute, visualize, interpret, and compare survival curves using Kaplan-Meier, Weibull, and Cox PH models. By the end of this course, you’ll be able to model survival distributions, build pretty plots of survival curves, and even predict survival durations.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/survival-analysis-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Survival Analysis in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25849,ONLINE,,AHOLD,N,Modeling with tidymodels in R,,,,,,"Tidymodels is a powerful suite of R packages designed to streamline machine learning workflows. Learn to split datasets for cross-validation, preprocess data with tidymodels' recipe package, and fine-tune machine learning algorithms. You'll learn key concepts such as defining model objects and creating modeling workflows. Then, you'll apply your skills to predict home prices and classify employees by their risk of leaving a company.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/modeling-with-tidymodels-in-r,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Modeling with tidymodels in R,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25814,ONLINE,,AHOLD,N,Data-Driven Decision Making for Business,,,,,,"Data literacy is an essential skill for every role within an organization—not just data scientists and analysts. As companies collect more data than ever before, it’s critical that everyone can read and analyze that data efficiently. In this course, you'll learn the basics of data-driven decision-making and get to apply these skills to three real-life examples from the world of finance, marketing, and operations. You’ll also discover how to uncover new insights and opportunities by applying supply and demand, cost and benefit, and risk and rewards frameworks—gaining practical skills to help you thrive in the new data-driven world.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/data-driven-decision-making-for-business,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Data-Driven Decision Making for Business,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25812,ONLINE,,AHOLD,N,Data Privacy and Anonymization in Python,,,,,,"Data privacy has never been more important. But how do you balance privacy with the need to gather and share valuable business insights? In this course, you'll learn how to do just that, using the same methods as Google and Amazon—including data generalization and privacy models, like k-Anonymity and differential privacy. In addition to touching on topics such as GDPR, you'll also discover how to build and train machine learning models in Python while protecting users’ sensitive information such as employee and income data. Let’s get started!",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/data-privacy-and-anonymization-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Data Privacy and Anonymization in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-25711,ONLINE,,AHOLD,N,Working with Categorical Data in Python,,,,,,"Being able to understand, use, and summarize non-numerical data—such as a person’s blood type or marital status—is a vital component of being a data scientist. In this course, you’ll learn how to manipulate and visualize categorical data using pandas and seaborn. Through hands-on exercises, you’ll get to grips with pandas' categorical data type, including how to create, delete, and update categorical columns. You’ll also work with a wide range of datasets including the characteristics of adoptable dogs, Las Vegas trip reviews, and census data to develop your skills at working with categorical data.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/working-with-categorical-data-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Working with Categorical Data in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
